Su_H_	Rbpj
croc	Foxc2
pho	Yy1
pho	Yy2
tll	Nr2e1
M0369	Bcl6b
M0373	Zscan26
M0385	Mtf1
M0393	Klf9
M0393	Ovol1
M0400	Zic4
M0400	Zic5
M0401	Zfp410
M0404	Zfp3
M0406	Zfp691
M00011	Arnt
M00039	Churc1
M00039	Crx
M00039	Dbp
M00039	Ets1
M00039	Gata1
M00039	Gata2
M00039	Gata3
M00039	Gata4
M00039	Gata5
M00039	Gata6
M00039	Gfi1
M00039	Gfi1b
M00039	Hsf1
M00039	Ikzf1
M00039	Ikzf2
M00039	Klf4
M00039	Nanog
M00039	Nr3c1
M00039	Pou2f1
M00039	Vdr
M00039	Yy1
M00039	Zfp354c
M00039	Zfp384
M00114	E2f8
M00114	Hes7
M00114	Max
M00114	Onecut2
M00114	Prrxl1
M00114	Tfap2a
M00114	Tfap2b
M00114	Tfap2c
M00114	Tfap2d
M00114	Tfap2e
M00115	Arid3a
M00115	Arid3b
M00115	Arid3c
M00116	Arid5a
M00120	Myf6
M00123	Mafk
M00126	Maf
M00126	Mafa
M00126	Mafb
M00126	Maff
M00126	Mafg
M00126	Mafk
M00126	Nrl
M00129	Glis2
M00130	Plagl1
M00135	Zbtb7b
M00136	Mtf1
M00137	Zic1
M00137	Zic2
M00137	Zic3
M00137	Zic4
M00139	Zfp281
M00141	Hic1
M00141	Hic2
M00144	Osr1
M00144	Osr2
M00145	Zbtb14
M00146	Zbtb12
M00147	Zscan4c
M00148	Zfp105
M00149	Zfp128
M00152	Zbtb3
M00155	Elf2
M00155	Elf3
M00155	Elf4
M00155	Elf5
M00155	Spi1
M00155	Spic
M00159	Elf2
M00159	Elf4
M00159	Elk4
M00159	Erg
M00159	Ets1
M00159	Etv1
M00159	Etv3
M00159	Fli1
M00159	Spdef
M00161	Foxj1
M00161	Foxj3
M00161	Foxo4
M00162	Foxa1
M00162	Foxa2
M00162	Foxa3
M00162	Foxc2
M00162	Foxd2
M00162	Foxi1
M00162	Foxj3
M00162	Hltf
M00184	Nr1h4
M00184	Nr2c1
M00184	Nr2c2
M00184	Nr2f1
M00184	Nr2f2
M00184	Nr2f6
M00184	Rara
M00184	Rarg
M00184	Rorb
M00184	Rxra
M00184	Rxrb
M00184	Rxrg
M00187	Hoxb2
M00187	Rfx2
M00187	Rfx3
M00187	Rfx4
M00187	Rfx5
M00187	Rfx7
M00189	Sp100
M00195	Cic
M00195	Maf
M00195	Mafa
M00195	Mafb
M00195	Maff
M00195	Mafg
M00195	Mafk
M00195	Nrl
M00196	Bbx
M00199	Sox1
M00199	Sox10
