tf,
ZNF354C,
KLF12,
ZNF143,
ZIC2,
ZNF274,
SP2,
ZBTB7A,ZNF354C
BCL6B,KLF12
ZBTB49,ZNF143
ZIC1,ZIC2
ZNF232,ZNF274
ZNF282,SP2
ZNF410,ZBTB7A
ZSCAN16,BCL6B
ZNF524,ZBTB49
ZNF713,ZIC1
ZNF75A,ZNF232
ZSCAN4,ZNF282
ZNF200,ZNF410
SNAI2,ZSCAN16
KLF1,ZNF524
BCL6,ZNF713
EGR2,ZNF75A
OVOL2,ZSCAN4
GFI1,ZNF200
GFI1B,SNAI2
KLF11,KLF1
WT1,BCL6
ZNF655,EGR2
FOXC1,OVOL2
ARX,GFI1
VSX1,GFI1B
CRX,KLF11
PBX4,WT1
PHOX2B,ZNF655
VAX2,FOXC1
VSX2,ARX
MSX2,VSX1
ESX1,CRX
HOXD13,PBX4
NKX2-8,PHOX2B
VENTX,VAX2
HESX1,VSX2
PITX2,MSX2
PROP1,ESX1
ISX,HOXD13
NKX2-5,NKX2-8
SIX6,VENTX
HOXC4,HESX1
HOXB7,PITX2
PAX6,PROP1
PAX7,ISX
PAX4,NKX2-5
PAX3,SIX6
POU4F3,HOXC4
POU6F2,HOXB7
POU3F4,PAX6
NR1H4,PAX7
NR2E3,PAX4
POU2F1,PAX3
RBPJ,POU4F3
FOXP1,POU6F2
MAX,POU3F4
PHF1,NR1H4
MTF2,NR2E3
BCL11A,POU2F1
BCL11B,RBPJ
FOXN2,FOXP1
FOXR1,MAX
SOX4,PHF1
SOHLH2,MTF2
ZSCAN29,BCL11A
PLAGL2,BCL11B
VEZF1,FOXN2
ZBTB44,FOXR1
CENPBD1,SOX4
TIGD1,SOHLH2
CXXC5,ZSCAN29
FOXN3,PLAGL2
HDX,VEZF1
DUXA,ZBTB44
MSANTD3,CENPBD1
ZZZ3,TIGD1
LCORL,CXXC5
NFATC4,FOXN3
CUX2,HDX
CUX1,DUXA
DLX3,MSANTD3
LHX9,ZZZ3
POU5F1B,LCORL
NFATC2,NFATC4
ZFHX3,CUX2
KDM2B,CUX1
KMT2A,DLX3
DNMT1,LHX9
TET1,POU5F1B
DMRT3,NFATC2
DMRT1,ZFHX3
DMRTA2,KDM2B
DMRT2,KMT2A
E2F2,DNMT1
FOXK1,TET1
FOXG1,DMRT3
GCM1,DMRT1
HOXA2,DMRTA2
NOBOX,DMRT2
LHX2,E2F2
LHX6,FOXK1
TLX2,FOXG1
EMX1,GCM1
ZFHX2,HOXA2
LBX1,NOBOX
HOXB13,LHX2
ZHX1,LHX6
POU6F1,TLX2
SHOX,EMX1
ANHX,ZFHX2
MYRF,LBX1
NR2E1,HOXB13
NR3C2,ZHX1
NR2F6,POU6F1
RARG,SHOX
NFATC3,ANHX
RFX2,MYRF
GMEB1,NR2E1
THAP12,NR3C2
GLI2,NR2F6
GLI3,RARG
GLI1,NFATC3
ETS1,RFX2
NFIL3,GMEB1
MZF1,THAP12
RREB1,GLI2
SPIB,GLI3
FOXF2,GLI1
FOXD1,ETS1
PBX1,NFIL3
IRF2,MZF1
RORA,RREB1
PPARG,SPIB
REL,FOXF2
RELA,FOXD1
SOX9,PBX1
SRY,IRF2
TFEB,RORA
TCF4,PPARG
CEBPE,REL
XBP1,RELA
PRDM1,SOX9
EHF,SRY
ERG,TFEB
FOXJ3,TCF4
GATA1,CEBPE
MEIS2,XBP1
POU2F2,PRDM1
HSF2,EHF
MEF2C,ERG
RXRG,FOXJ3
NFATC1,GATA1
RFX3,MEIS2
RUNX3,POU2F2
EOMES,HSF2
TFAP2B,MEF2C
TFAP2C,RXRG
TFAP2A,NFATC1
ZBED1,RFX3
MLXIPL,RUNX3
TFE3,EOMES
MNT,TFAP2B
TCF3,TFAP2C
TFAP4,TFAP2A
TFEC,ZBED1
MLX,MLXIPL
MYF6,TFE3
BHLHE41,MNT
BHLHE23,TCF3
ARNTL,TFAP4
BHLHE40,TFEC
CLOCK,MLX
HEY2,MYF6
USF1,BHLHE41
HEY1,BHLHE23
MESP1,ARNTL
NEUROD2,BHLHE40
NHLH1,CLOCK
OLIG3,HEY2
NEUROG2,USF1
MSC,HEY1
HES7,MESP1
BHLHA15,NEUROD2
BHLHE22,NHLH1
FIGLA,OLIG3
OLIG1,NEUROG2
HES5,MSC
SREBF2,HES7
OLIG2,BHLHA15
MGA,BHLHE22
DBP,FIGLA
CREB3,OLIG1
HLF,HES5
NFE2,SREBF2
BATF3,OLIG2
ATF4,MGA
NRL,DBP
JDP2,CREB3
CEBPG,HLF
CREB3L1,NFE2
TEF,BATF3
CEBPB,ATF4
MAFF,NRL
MAFG,JDP2
MAFK,CEBPG
CEBPD,CREB3L1
ATF7,TEF
YY1,CEBPB
CTCF,MAFF
SP4,MAFG
GLIS3,MAFK
PRDM4,CEBPD
EGR1,ATF7
GLIS2,YY1
KLF16,CTCF
EGR4,SP4
ZNF740,GLIS3
ZIC3,PRDM4
ZBTB7B,EGR1
SP8,GLIS2
HIC2,KLF16
KLF13,EGR4
HINFP,ZNF740
SP3,ZIC3
GLIS1,ZBTB7B
ZIC4,SP8
EGR3,HIC2
ZBTB18,KLF13
ZNF784,HINFP
ZBTB7C,SP3
SP1,GLIS1
MTF1,ZIC4
ZKSCAN3,EGR3
SCRT2,ZBTB18
YY2,ZNF784
SCRT1,ZBTB7C
KLF14,SP1
CENPB,MTF1
ONECUT2,ZKSCAN3
ONECUT1,SCRT2
ONECUT3,YY2
E2F1,SCRT1
E2F3,KLF14
E2F8,CENPB
E2F7,ONECUT2
E2F4,ONECUT1
EBF1,ONECUT3
ETV1,E2F1
SPI1,E2F3
ELF4,E2F8
ETV2,E2F7
ERF,E2F4
ELK3,EBF1
ETV3,ETV1
ELF1,SPI1
SPDEF,ELF4
ELK1,ETV2
ELF5,ERF
ETV6,ELK3
FLI1,ETV3
GABPA,ELF1
ELK4,SPDEF
ELF3,ELK1
FEV,ELF5
SPIC,ETV6
ETV4,FLI1
ETV5,GABPA
FOXP3,ELK4
FOXJ2,ELF3
FOXO3,FEV
FOXO1,SPIC
FOXI1,ETV4
FOXB1,ETV5
FOXL1,FOXP3
FOXC2,FOXJ2
FOXO4,FOXO3
FOXD2,FOXO1
FOXD3,FOXI1
FOXO6,FOXB1
GATA3,FOXL1
GATA5,FOXC2
GATA4,FOXO4
GCM2,FOXD2
GRHL1,FOXD3
TFCP2,FOXO6
MEOX1,GATA3
DLX6,GATA5
ALX4,GATA4
GSC2,GCM2
PITX1,GRHL1
HOXA9,TFCP2
RHOXF1,MEOX1
MEIS3,DLX6
DLX5,ALX4
HOXA1,GSC2
HOXA13,PITX1
EVX1,HOXA9
MEOX2,RHOXF1
PITX3,MEIS3
DLX4,DLX5
CDX1,HOXA1
OTX1,HOXA13
DLX2,EVX1
PRRX1,MEOX2
TGIF2,PITX3
HOXB5,DLX4
HOXB3,CDX1
HOXC13,OTX1
HOXC11,DLX2
HOXC12,PRRX1
HOXD11,TGIF2
MNX1,HOXB5
BARX1,HOXB3
GSC,HOXC13
RAX,HOXC11
HNF1A,HOXC12
LMX1B,HOXD11
PDX1,MNX1
BARHL2,BARX1
MEIS1,GSC
DLX1,RAX
HMBOX1,HNF1A
VAX1,LMX1B
TGIF2LX,PDX1
ALX3,BARHL2
ISL2,MEIS1
PKNOX1,DLX1
LMX1A,HMBOX1
EN1,VAX1
MSX1,TGIF2LX
EN2,ALX3
UNCX,ISL2
GBX1,PKNOX1
PHOX2A,LMX1A
PKNOX2,EN1
CDX2,MSX1
OTX2,EN2
DRGX,UNCX
PRRX2,GBX1
GBX2,PHOX2A
SHOX2,PKNOX2
GSX1,CDX2
HOXD12,OTX2
EMX2,DRGX
IRX2,PRRX2
HOXB2,GBX2
RAX2,SHOX2
EVX2,GSX1
HOXD8,HOXD12
IRX5,EMX2
TGIF1,IRX2
LBX2,HOXB2
ALX1,RAX2
GSX2,EVX2
HOXC10,HOXD8
MIXL1,IRX5
HMX3,TGIF1
HMX2,LBX2
BSX,ALX1
DMBX1,GSX2
DPRX,HOXC10
NOTO,MIXL1
HOMEZ,HMX3
HMX1,HMX2
HNF1B,BSX
PAX2,DMBX1
POU1F1,DPRX
POU2F3,NOTO
POU4F2,HOMEZ
POU4F1,HMX1
POU3F2,HNF1B
POU3F1,PAX2
POU3F3,POU1F1
HSF4,POU2F3
HSFY2,POU4F2
HSF1,POU4F1
IRF3,POU3F2
IRF5,POU3F1
IRF4,POU3F3
IRF8,HSF4
IRF7,HSFY2
IRF9,HSF1
MEF2A,IRF3
SRF,IRF5
MEF2D,IRF4
MEF2B,IRF8
MYBL2,IRF7
MYBL1,IRF9
RARB,MEF2A
ESR1,SRF
HNF4A,MEF2D
VDR,MEF2B
NR3C1,MYBL2
ESRRB,MYBL1
THRA,RARB
RARA,ESR1
THRB,HNF4A
NR4A2,VDR
AR,NR3C1
ESRRA,ESRRB
NR2F1,THRA
NR2C2,RARA
RXRA,THRB
ESRRG,NR4A2
RXRB,AR
TP63,ESRRA
PAX1,NR2F1
PAX5,NR2C2
PAX9,RXRA
PROX1,ESRRG
NFKB2,RXRB
NFAT5,TP63
NFKB1,PAX1
RFX4,PAX5
RFX5,PAX9
RUNX2,PROX1
GMEB2,NFKB2
NFIX,NFAT5
NFIB,NFKB1
NFIA,RFX4
SMAD3,RFX5
SOX8,RUNX2
SOX10,GMEB2
SOX21,NFIX
SOX15,NFIB
LEF1,NFIA
TCF7L1,SMAD3
SOX14,SOX8
SOX7,SOX10
SOX2,SOX21
SOX18,SOX15
TBX21,LEF1
TBX5,TCF7L1
TBX15,SOX14
TBX2,SOX7
TBX4,SOX2
TBR1,SOX18
TBX19,TBX21
TBX20,TBX5
TBX1,TBX15
TEAD3,TBX2
TEAD1,TBX4
TEAD4,TBR1
NRF1,TBX19
CPEB1,TBX20
PGR,TBX1
NR1I3,TEAD3
NR1I2,TEAD1
NFE2L1,TEAD4
ATF2,NRF1
ATF6,CPEB1
CREB1,PGR
ATF3,NR1I3
FOSL1,NR1I2
JUN,NFE2L1
MAFB,ATF2
ATF6B,ATF6
CEBPA,CREB1
TFAP2E,ATF3
HES2,FOSL1
SREBF1,JUN
TCFL5,MAFB
USF2,ATF6B
HES1,CEBPA
TCF21,TFAP2E
MYOG,HES2
MYOD1,SREBF1
MYCN,TCFL5
ASCL1,USF2
TCF12,HES1
HES6,TCF21
FERD3L,MYOG
MSGN1,MYOD1
NEUROD1,MYCN
HAND2,ASCL1
PTF1A,TCF12
NPAS2,HES6
ATOH1,FERD3L
ARNT2,MSGN1
NHLH2,NEUROD1
ATOH7,HAND2
NEUROG1,PTF1A
ASCL2,NPAS2
MESP2,ATOH1
CREM,ARNT2
BACH2,NHLH2
FOSB,ATOH7
JUND,NEUROG1
CREB3L4,ASCL2
CREB5,MESP2
BATF,CREM
FOS,BACH2
JUNB,FOSB
MAF,JUND
MAFA,CREB3L4
ZNF263,CREB5
DPF1,BATF
ZBTB32,FOS
ZNF76,JUNB
KLF6,MAF
ZNF343,MAFA
KLF5,ZNF263
ZNF821,DPF1
ZNF174,ZBTB32
KLF3,ZNF76
ZNF684,KLF6
ZBTB45,ZNF343
SNAI1,KLF5
ZNF384,ZNF821
KLF2,ZNF174
ZSCAN5A,KLF3
KLF4,ZNF684
ZSCAN9,ZBTB45
ZIC5,SNAI1
ZNF787,ZNF384
OSR1,KLF2
ZNF660,ZSCAN5A
ZNF385D,KLF4
ZSCAN1,ZSCAN9
KLF10,ZIC5
ZNF276,ZNF787
ZNF281,OSR1
KLF15,ZNF660
ZNF12,ZNF385D
ZNF704,ZSCAN1
OSR2,KLF10
ZNF23,ZNF276
ZNF444,ZNF281
ZNF597,KLF15
ZBTB43,ZNF12
ZNF32,ZNF704
ZNF296,OSR2
ZBTB26,ZNF23
KLF17,ZNF444
OVOL1,ZNF597
ZNF449,ZBTB43
HIC1,ZNF32
ZBTB33,ZNF296
ZNF454,ZBTB26
ZFP42,KLF17
ZNF771,OVOL1
ZBTB2,ZNF449
ZFP41,HIC1
ZBTB20,ZBTB33
ZFP1,ZNF454
ZBTB37,ZFP42
SNAI3,ZNF771
ZNF501,ZBTB2
ZNF396,ZFP41
ZSCAN23,ZBTB20
ZNF177,ZFP1
ZNF250,ZBTB37
ZNF140,SNAI3
ZNF460,ZNF501
ZBTB14,ZNF396
ZBTB12,ZSCAN23
ZNF580,ZNF177
SP9,ZNF250
ZSCAN31,ZNF140
ZBTB22,ZNF460
ZNF345,ZBTB14
MBNL2,ZBTB12
YBX1,ZNF580
LIN28B,SP9
DMRTC2,ZSCAN31
DMRTA1,ZBTB22
ETV7,ZNF345
ELF2,MBNL2
ETS2,YBX1
FOXA2,LIN28B
FOXA1,DMRTC2
FOXQ1,DMRTA1
FOXA3,ETV7
FOXE1,ELF2
FOXL2,ETS2
FOXR2,FOXA2
GATA6,FOXA1
GATA2,FOXQ1
TFCP2L1,FOXA3
UBP1,FOXE1
HOXA11,FOXL2
ISL1,FOXR2
HOXC8,GATA6
BARX2,GATA2
LHX5,TFCP2L1
SIX4,UBP1
HOXA5,HOXA11
HOXA6,ISL1
HOXB6,HOXC8
NKX3-2,BARX2
NANOG,LHX5
NKX2-3,SIX4
HOXB8,HOXA5
HOXB1,HOXA6
LHX4,HOXB6
HOXA7,NKX3-2
BARHL1,NANOG
SIX1,NKX2-3
HOXD1,HOXB8
HOXD3,HOXB1
HOXD9,LHX4
HOXD10,HOXA7
CDX4,BARHL1
RHOXF2,SIX1
SIX3,HOXD1
NKX6-2,HOXD3
LHX8,HOXD9
TLX3,HOXD10
NKX6-3,CDX4
NKX3-1,RHOXF2
HOXD4,SIX3
IRX1,NKX6-2
SIX2,LHX8
HOXB9,TLX3
TGIF2LY,NKX6-3
IRX3,NKX3-1
HOXC9,HOXD4
HOXB4,IRX1
ARGFX,SIX2
HOXA4,HOXB9
HOXA10,TGIF2LY
LHX1,IRX3
POU5F1,HOXC9
HSFY1,HOXB4
HSF5,ARGFX
IRF6,HOXA4
PPARD,HOXA10
NR5A2,LHX1
NR2C1,POU5F1
NR4A1,HSFY1
NR1D1,HSF5
NR5A1,IRF6
RORC,PPARD
NR6A1,NR5A2
NR1D2,NR2C1
RORB,NR4A1
PAX8,NR1D1
RFX1,NR5A1
RFX7,RORC
SKOR2,NR6A1
SMAD5,NR1D2
NFIC,RORB
SOX30,PAX8
TCF7,RFX1
BBX,RFX7
SOX3,SKOR2
SOX12,SMAD5
TBX18,NFIC
TBX3,SOX30
TBX6,TCF7
TBXT,BBX
TEAD2,SOX3
XPA,SOX12
SKOR1,TBX18
FOSL2,TBX3
ZKSCAN1,TBX6
ZFP14,TBXT
ZNF415,TEAD2
ZNF135,XPA
ZFP82,SKOR1
ZKSCAN7,FOSL2
ZNF777,ZKSCAN1
ZNF682,ZFP14
FOXP2,ZNF415
SOX6,ZNF135
SOX5,ZFP82
SOX17,ZKSCAN7
PLAG1,ZNF777
ZKSCAN2,ZNF682
ZNF582,FOXP2
ZNF506,SOX6
ZNF324,SOX5
ZNF671,SOX17
ZNF264,PLAG1
ZNF302,ZKSCAN2
ZNF184,ZNF582
ZNF419,ZNF506
ZNF85,ZNF324
ZNF430,ZNF671
ZNF549,ZNF264
ZNF211,ZNF302
ZNF205,ZNF184
ZNF45,ZNF419
ZNF133,ZNF85
ZNF484,ZNF430
ZNF557,ZNF549
ZNF337,ZNF211
ZNF317,ZNF205
ZNF331,ZNF45
ZNF141,ZNF133
ZNF304,ZNF484
ZNF132,ZNF557
ZNF189,ZNF337
ZNF287,ZNF317
ZIM3,ZNF331
ZNF614,ZNF141
ZNF300,ZNF304
RBAK,ZNF132
ZNF157,ZNF189
ZNF182,ZNF287
ZNF7,ZIM3
ZNF214,ZNF614
ZNF547,ZNF300
ZNF776,RBAK
ZNF18,ZNF157
ZNF19,ZNF182
ZNF222,ZNF7
ZNF235,ZNF214
ZNF714,ZNF547
ZNF333,ZNF776
ZNF382,ZNF18
ZNF496,ZNF19
PRDM9,ZNF222
ZNF202,ZNF235
ZNF3,ZNF714
ZNF180,ZNF333
ZNF641,ZNF382
ZNF610,ZNF496
ZNF528,PRDM9
ZNF701,ZNF202
ZNF283,ZNF3
ZNF558,ZNF180
ZNF30,ZNF641
ZNF354A,ZNF610
ZNF764,ZNF528
ZNF778,ZNF701
ZNF212,ZNF283
ZNF439,ZNF558
ZNF440,ZNF30
ZNF562,ZNF354A
ZNF561,ZNF764
ZNF584,ZNF778
ZIK1,ZNF212
ZNF540,ZNF439
ZNF570,ZNF440
ZNF621,ZNF562
ZNF680,ZNF561
ZNF483,ZNF584
ZNF417,ZIK1
ZNF791,ZNF540
ZNF266,ZNF570
ZNF519,ZNF621
ZNF25,ZNF680
ZNF77,ZNF483
ZNF169,ZNF417
ZNF613,ZNF791
ZNF620,ZNF266
ZNF619,ZNF519
ZNF114,ZNF25
ZNF543,ZNF77
ZNF354B,ZNF169
ZNF223,ZNF613
ZNF552,ZNF620
ZNF154,ZNF619
ZNF816,ZNF114
ZNF571,ZNF543
ZNF443,ZNF354B
ZNF792,ZNF223
ZNF707,ZNF552
ZNF875,ZNF154
ZNF101,ZNF816
ZNF716,ZNF571
ZNF708,ZNF443
ZNF662,ZNF792
ZNF320,ZNF707
ZNF530,ZNF875
ZNF730,ZNF101
ZNF93,ZNF716
ZFP90,ZNF708
ZNF479,ZNF662
ZNF445,ZNF320
ZNF74,ZNF530
ZNF267,ZNF730
ZNF566,ZNF93
ZNF529,ZFP90
ZNF284,ZNF479
ZNF749,ZNF445
ZNF17,ZNF74
ZNF555,ZNF267
ZNF75D,ZNF566
ZNF197,ZNF529
ZFP69B,ZNF284
ZFP69,ZNF749
ZNF626,ZNF17
ZNF793,ZNF555
ZNF383,ZNF75D
ZNF669,ZNF197
ZNF548,ZFP69B
ZNF567,ZFP69
ZNF573,ZNF626
ZNF527,ZNF793
ZNF33A,ZNF383
ZNF79,ZNF669
ZNF681,ZNF548
ZNF766,ZNF567
ZNF565,ZNF573
ZNF765,ZNF527
ZNF124,ZNF33A
ZNF605,ZNF79
ZNF799,ZNF681
ZNF782,ZNF766
ZNF846,ZNF565
ZNF136,ZNF765
ZKSCAN5,ZNF124
ZNF33B,ZNF605
ZNF431,ZNF799
ZNF418,ZNF782
ZNF585A,ZNF846
ZNF429,ZNF136
ZNF100,ZKSCAN5
ZNF398,ZNF33B
ZNF441,ZNF431
ZNF257,ZNF418
ZNF785,ZNF585A
ZNF786,ZNF429
ZNF675,ZNF100
